login_streak,posts_created,comments_written,upvotes_received,quizzes_completed,buddies_messaged,karma_spent,karma_earned,spam,surprise_unlocked,reward_karma,reason,rarity,box_type,status
1,0,3,3,4,5,0,28,True,False,0,spam,,,missed
5,4,4,13,2,9,20,25,False,True,5,no_reason,common,social,delivered
7,13,8,21,7,4,9,30,False,True,21,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
4,4,7,12,2,7,22,28,False,True,6,no_reason,rare,social,delivered
2,4,4,0,3,0,3,15,False,True,12,posts_created+karma_earned,common,mystery,delivered
5,9,4,8,2,7,3,23,False,True,20,posts_created+karma_earned,common,mystery,delivered
1,0,2,0,0,0,6,6,False,False,0,low_karma_diff,,,missed
4,6,19,20,3,7,2,30,False,True,28,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
3,6,10,12,3,4,20,25,False,True,5,no_reason,common,social,delivered
4,7,5,15,3,8,21,28,False,True,7,no_reason,common,social,delivered
0,5,3,5,1,0,21,28,False,True,7,posts_created+karma_earned,common,mystery,delivered
7,13,6,17,8,14,13,27,False,True,14,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
3,0,6,7,3,4,6,20,False,True,14,quizzes_completed+login_streak,common,streak,delivered
6,5,5,21,5,4,16,25,False,True,9,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
1,1,2,5,0,2,2,6,False,False,4,low_karma_diff,,,missed
3,4,1,10,2,1,15,23,False,True,8,posts_created+karma_earned,common,mystery,delivered
1,4,3,4,2,2,17,24,False,True,7,posts_created+login_streak,common,comeback,delivered
3,8,9,4,2,7,9,27,False,True,18,quizzes_completed+login_streak,common,streak,delivered
1,8,11,5,3,10,25,30,False,True,5,karma_spent,legendary,social,delivered
1,2,3,0,1,5,4,13,False,True,9,posts_created+login_streak,common,comeback,delivered
5,0,0,0,0,2,13,26,True,False,0,spam,,,missed
2,2,0,2,0,2,5,9,False,False,4,low_karma_diff,,,missed
2,1,2,0,0,2,4,5,False,False,1,low_karma_diff,,,missed
5,10,3,24,10,9,9,30,False,True,21,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
1,3,4,1,2,1,9,28,False,True,19,posts_created+login_streak,common,comeback,delivered
2,0,3,0,0,1,1,5,False,False,4,low_karma_diff,,,missed
7,12,8,11,8,7,19,25,False,True,6,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
2,2,4,4,0,0,2,5,False,False,3,low_karma_diff,,,missed
7,3,1,0,5,4,1,26,False,True,25,quizzes_completed+login_streak,rare,streak,delivered
0,6,9,16,1,15,13,25,False,True,12,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
1,10,5,4,1,2,6,19,False,True,13,posts_created+login_streak,common,comeback,delivered
1,9,2,3,2,0,0,14,False,True,14,posts_created+login_streak,common,comeback,delivered
5,10,0,9,3,1,7,27,False,True,20,quizzes_completed+login_streak,common,streak,delivered
1,7,1,5,1,2,0,30,False,True,30,posts_created+login_streak,rare,comeback,delivered
1,2,3,4,1,3,12,27,False,True,15,posts_created+login_streak,common,comeback,delivered
2,1,0,0,0,0,7,7,False,False,0,low_karma_diff,,,missed
1,5,4,4,2,0,8,15,False,True,7,posts_created+login_streak,common,comeback,delivered
1,5,3,0,2,0,4,12,False,True,8,posts_created+login_streak,common,comeback,delivered
3,1,8,5,0,7,2,26,False,True,24,posts_created+karma_earned,rare,mystery,delivered
1,4,9,5,2,8,22,27,False,True,5,no_reason,rare,social,delivered
3,10,8,12,3,6,22,28,False,True,6,no_reason,rare,social,delivered
10,0,0,15,3,4,18,23,False,True,5,quizzes_completed+login_streak,rare,streak,delivered
1,3,3,2,1,1,5,10,False,True,5,posts_created+login_streak,common,comeback,delivered
4,7,13,15,2,4,22,29,False,True,7,no_reason,rare,social,delivered
7,4,0,14,2,4,9,17,False,True,8,quizzes_completed+login_streak,rare,streak,delivered
9,11,5,18,9,5,6,28,False,True,22,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
2,9,1,6,3,5,8,20,False,True,12,posts_created+karma_earned,common,mystery,delivered
1,8,5,4,2,2,10,30,False,True,20,posts_created+login_streak,rare,comeback,delivered
2,2,4,4,0,2,12,12,True,False,0,spam,,,missed
9,0,8,13,2,4,14,27,False,True,13,quizzes_completed+login_streak,rare,streak,delivered
5,6,8,7,2,6,20,29,False,True,9,no_reason,common,social,delivered
0,0,0,5,0,1,8,10,False,False,2,low_karma_diff,,,missed
3,1,8,11,5,9,12,28,False,True,16,quizzes_completed+login_streak,common,streak,delivered
0,8,6,1,0,2,14,29,False,True,15,posts_created+karma_earned,common,mystery,delivered
1,2,4,2,0,0,6,6,False,False,0,low_karma_diff,,,missed
2,6,13,26,2,7,2,23,False,True,21,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
6,8,0,14,2,0,19,24,False,True,5,quizzes_completed+login_streak,rare,streak,delivered
0,10,10,3,0,1,13,25,False,True,12,posts_created+karma_earned,common,mystery,delivered
4,7,5,2,3,9,9,30,False,True,21,quizzes_completed+login_streak,common,streak,delivered
4,2,4,2,3,1,2,22,False,True,20,posts_created+karma_earned,common,mystery,delivered
1,2,5,5,2,1,13,26,False,True,13,posts_created+login_streak,common,comeback,delivered
2,3,10,5,3,5,12,24,False,True,12,posts_created+karma_earned,common,mystery,delivered
9,10,9,16,5,15,3,30,False,True,27,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
4,6,7,23,3,8,1,26,False,True,25,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
6,6,3,14,3,0,9,26,False,True,17,quizzes_completed+login_streak,rare,streak,delivered
2,9,14,5,2,10,22,30,False,True,8,no_reason,rare,social,delivered
5,0,9,9,1,9,2,16,False,True,14,quizzes_completed+login_streak,common,streak,delivered
1,3,4,4,2,3,4,14,False,True,10,posts_created+login_streak,common,comeback,delivered
0,0,1,3,0,2,7,10,False,False,3,low_karma_diff,,,missed
1,5,4,5,1,2,8,15,False,True,7,posts_created+login_streak,common,comeback,delivered
1,10,8,15,2,7,20,25,False,True,5,no_reason,common,social,delivered
1,2,3,1,0,1,9,10,False,False,1,low_karma_diff,,,missed
2,0,8,25,0,13,14,23,False,True,9,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
10,2,8,1,5,1,1,22,False,True,21,quizzes_completed+login_streak,legendary,streak,delivered
0,2,2,1,0,1,6,9,False,False,3,low_karma_diff,,,missed
5,6,13,14,5,4,14,30,False,True,16,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
4,9,9,1,2,4,0,10,False,True,10,posts_created+karma_earned,common,mystery,delivered
1,4,4,0,1,4,5,16,False,True,11,posts_created+login_streak,common,comeback,delivered
1,0,0,1,0,2,3,5,False,False,2,low_karma_diff,,,missed
2,6,5,24,0,3,14,28,False,True,14,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
2,7,10,9,0,1,6,25,False,True,19,posts_created+karma_earned,common,mystery,delivered
2,3,10,6,1,2,12,21,False,True,9,posts_created+karma_earned,common,mystery,delivered
1,10,2,2,2,1,9,23,False,True,14,posts_created+login_streak,common,comeback,delivered
1,8,12,15,2,10,21,27,False,True,6,no_reason,common,social,delivered
1,0,3,1,0,1,2,5,False,False,3,low_karma_diff,,,missed
7,6,8,19,4,9,4,27,False,True,23,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
7,15,20,20,8,6,1,25,False,True,24,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
2,6,10,28,3,3,2,27,False,True,25,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
2,6,8,26,3,11,2,25,False,True,23,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
5,6,9,21,3,10,13,29,False,True,16,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
1,7,6,11,3,10,23,29,False,True,6,no_reason,rare,social,delivered
1,4,5,2,2,5,15,20,False,True,5,posts_created+login_streak,common,comeback,delivered
1,6,3,3,2,4,9,27,False,True,18,posts_created+login_streak,common,comeback,delivered
0,3,7,10,0,2,5,11,False,True,6,posts_created+karma_earned,common,mystery,delivered
5,1,10,26,2,4,11,23,False,True,12,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
0,4,9,2,0,5,6,15,False,True,9,posts_created+karma_earned,common,mystery,delivered
10,8,7,1,4,6,15,28,False,True,13,quizzes_completed+login_streak,rare,streak,delivered
0,6,8,15,3,6,20,26,False,True,6,no_reason,common,social,delivered
4,6,19,24,3,13,14,21,False,True,7,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
8,4,8,1,2,3,3,19,False,True,16,quizzes_completed+login_streak,rare,streak,delivered
4,6,9,10,1,3,8,21,False,True,13,posts_created+karma_earned,common,mystery,delivered
5,14,8,24,5,7,5,26,False,True,21,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
3,7,17,22,6,14,8,25,False,True,17,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
1,6,14,21,2,3,4,29,False,True,25,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
5,5,15,13,1,4,7,27,False,True,20,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
1,6,1,0,2,1,0,17,False,True,17,posts_created+login_streak,common,comeback,delivered
5,4,1,3,1,4,0,22,False,True,22,quizzes_completed+login_streak,common,streak,delivered
1,0,8,10,3,13,10,27,False,True,17,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
1,10,5,0,2,0,5,14,False,True,9,posts_created+login_streak,common,comeback,delivered
6,1,0,9,5,9,8,21,False,True,13,quizzes_completed+login_streak,rare,streak,delivered
1,1,6,2,2,6,0,11,False,True,11,posts_created+karma_earned,common,mystery,delivered
2,6,10,0,3,0,19,24,False,True,5,posts_created+karma_earned,common,mystery,delivered
0,9,0,2,3,5,21,29,False,True,8,posts_created+karma_earned,common,mystery,delivered
4,9,15,5,2,4,20,26,False,True,6,no_reason,common,social,delivered
8,8,6,1,4,3,2,28,False,True,26,quizzes_completed+login_streak,legendary,streak,delivered
3,12,16,16,6,3,13,25,False,True,12,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
1,10,1,1,2,5,4,19,False,True,15,posts_created+login_streak,common,comeback,delivered
1,3,3,5,1,5,11,18,False,True,7,posts_created+login_streak,common,comeback,delivered
2,0,1,3,0,2,3,7,False,False,4,low_karma_diff,,,missed
5,6,15,7,2,10,21,27,False,True,6,no_reason,common,social,delivered
7,10,6,5,1,1,2,16,False,True,14,quizzes_completed+login_streak,rare,streak,delivered
2,4,0,3,2,3,1,14,True,False,0,spam,,,missed
3,3,8,11,3,7,20,25,False,True,5,no_reason,common,social,delivered
8,7,7,8,3,2,11,17,False,True,6,quizzes_completed+login_streak,rare,streak,delivered
1,2,2,1,0,2,4,6,False,False,2,low_karma_diff,,,missed
1,9,1,2,1,5,20,26,False,True,6,posts_created+login_streak,common,comeback,delivered
6,13,3,11,5,4,22,30,False,True,8,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
0,6,7,6,2,8,22,28,False,True,6,no_reason,rare,social,delivered
1,3,4,10,3,3,6,12,False,True,6,posts_created+karma_earned,common,mystery,delivered
7,7,7,15,3,7,21,30,False,True,9,quizzes_completed+login_streak,rare,streak,delivered
3,9,8,14,2,7,22,27,False,True,5,no_reason,rare,social,delivered
5,10,0,4,2,1,9,22,False,True,13,posts_created+karma_earned,common,mystery,delivered
1,5,15,27,0,7,6,25,False,True,19,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
4,2,7,14,5,7,6,24,False,True,18,quizzes_completed+login_streak,common,streak,delivered
7,14,15,12,8,5,9,30,False,True,21,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
2,2,4,4,4,5,13,15,True,False,0,spam,,,missed
1,7,8,5,1,2,0,19,False,True,19,posts_created+karma_earned,common,mystery,delivered
1,8,4,2,1,2,3,27,False,True,24,posts_created+login_streak,rare,comeback,delivered
0,1,3,5,0,1,4,8,False,False,4,low_karma_diff,,,missed
4,3,4,11,2,10,22,29,False,True,7,no_reason,rare,social,delivered
4,13,19,11,2,15,6,30,False,True,24,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
5,5,7,21,7,10,17,27,False,True,10,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
3,8,6,13,3,4,21,26,False,True,5,no_reason,common,social,delivered
0,1,20,14,3,9,0,26,False,True,26,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
1,5,4,12,3,8,22,29,False,True,7,no_reason,rare,social,delivered
1,5,2,6,2,6,0,13,False,True,13,posts_created+karma_earned,common,mystery,delivered
5,5,5,8,2,2,5,10,False,True,5,posts_created+karma_earned,common,mystery,delivered
6,11,12,18,7,10,16,26,False,True,10,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
1,5,4,5,1,3,5,23,False,True,18,posts_created+login_streak,common,comeback,delivered
2,1,8,9,1,4,4,17,False,True,13,posts_created+karma_earned,common,mystery,delivered
1,1,3,5,0,0,5,9,False,False,4,low_karma_diff,,,missed
5,3,12,13,0,9,13,22,False,True,9,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
10,6,8,2,5,7,19,26,False,True,7,quizzes_completed+login_streak,rare,streak,delivered
2,0,1,4,0,1,6,9,False,False,3,low_karma_diff,,,missed
4,10,10,5,3,6,21,26,False,True,5,no_reason,common,social,delivered
3,3,5,10,2,7,20,25,False,True,5,no_reason,common,social,delivered
1,8,6,9,0,7,5,27,False,True,22,posts_created+karma_earned,common,mystery,delivered
1,7,5,3,2,4,7,15,False,True,8,posts_created+login_streak,common,comeback,delivered
4,4,7,13,4,7,13,18,False,True,5,quizzes_completed+login_streak,common,streak,delivered
7,7,16,19,4,5,11,29,False,True,18,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
0,7,5,4,0,6,13,22,False,True,9,posts_created+karma_earned,common,mystery,delivered
5,12,10,23,7,11,5,30,False,True,25,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
3,4,14,9,2,9,21,30,False,True,9,no_reason,common,social,delivered
0,10,8,4,1,1,1,14,False,True,13,posts_created+karma_earned,common,mystery,delivered
3,0,6,3,2,1,8,18,False,True,10,quizzes_completed+login_streak,common,streak,delivered
1,9,3,0,1,2,3,12,False,True,9,posts_created+login_streak,common,comeback,delivered
7,1,8,0,5,0,10,26,False,True,16,quizzes_completed+login_streak,rare,streak,delivered
3,2,1,9,2,6,9,24,False,True,15,posts_created+karma_earned,common,mystery,delivered
3,5,15,23,3,10,7,25,False,True,18,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
5,1,7,23,0,14,17,23,False,True,6,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
1,0,1,1,0,2,5,6,False,False,1,low_karma_diff,,,missed
2,5,10,10,0,4,19,29,False,True,10,posts_created+karma_earned,common,mystery,delivered
3,7,9,14,1,4,1,28,False,True,27,quizzes_completed+login_streak,common,streak,delivered
1,5,9,30,0,5,1,24,False,True,23,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
4,4,2,3,0,4,5,12,True,False,0,spam,,,missed
7,5,1,3,2,4,21,28,False,True,7,quizzes_completed+login_streak,rare,streak,delivered
1,9,5,4,2,0,11,24,False,True,13,posts_created+login_streak,common,comeback,delivered
1,1,0,1,0,0,4,8,False,False,4,low_karma_diff,,,missed
1,4,4,15,3,4,21,28,False,True,7,no_reason,common,social,delivered
2,6,9,6,2,5,3,27,False,True,24,posts_created+karma_earned,rare,mystery,delivered
1,8,1,0,2,4,7,16,False,True,9,posts_created+login_streak,common,comeback,delivered
1,10,2,2,1,5,13,21,False,True,8,posts_created+login_streak,common,comeback,delivered
0,1,4,0,0,0,4,6,False,False,2,low_karma_diff,,,missed
4,13,5,22,6,13,12,25,False,True,13,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
5,5,17,11,2,14,10,26,False,True,16,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
0,4,6,21,2,13,13,28,False,True,15,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
9,11,6,19,7,4,7,30,False,True,23,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
6,11,20,12,9,8,8,26,False,True,18,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
2,3,5,15,2,4,21,27,False,True,6,no_reason,common,social,delivered
5,6,17,19,0,9,18,23,False,True,5,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
5,5,0,1,2,8,15,21,False,True,6,quizzes_completed+login_streak,common,streak,delivered
3,1,12,26,0,7,7,27,False,True,20,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
10,2,0,3,4,4,6,15,False,True,9,quizzes_completed+login_streak,rare,streak,delivered
3,6,5,2,2,8,6,29,False,True,23,quizzes_completed+login_streak,common,streak,delivered
1,0,0,1,0,0,7,8,False,False,1,low_karma_diff,,,missed
1,4,14,15,3,6,20,26,False,True,6,no_reason,common,social,delivered
3,3,5,14,4,8,3,26,False,True,23,quizzes_completed+login_streak,common,streak,delivered
0,1,3,3,0,1,4,7,False,False,3,low_karma_diff,,,missed
4,9,1,1,5,10,17,30,False,True,13,quizzes_completed+login_streak,common,streak,delivered
1,10,2,2,1,4,11,21,False,True,10,posts_created+login_streak,common,comeback,delivered
1,7,3,5,1,1,10,28,False,True,18,posts_created+login_streak,common,comeback,delivered
2,5,6,23,0,12,4,20,False,True,16,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
1,3,10,7,2,4,22,28,False,True,6,no_reason,rare,social,delivered
4,8,11,7,3,9,21,29,False,True,8,no_reason,common,social,delivered
0,2,1,0,0,1,3,6,False,False,3,low_karma_diff,,,missed
1,5,4,4,1,4,17,24,False,True,7,posts_created+login_streak,common,comeback,delivered
8,10,3,11,1,2,4,19,False,True,15,quizzes_completed+login_streak,rare,streak,delivered
3,9,2,8,3,5,4,21,False,True,17,posts_created+karma_earned,common,mystery,delivered
0,0,10,27,0,6,16,29,False,True,13,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
3,5,14,9,3,4,20,28,False,True,8,no_reason,common,social,delivered
2,7,5,15,3,4,20,30,False,True,10,no_reason,common,social,delivered
3,5,8,17,0,9,9,24,False,True,15,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
3,8,11,7,3,8,20,26,False,True,6,no_reason,common,social,delivered
0,1,3,3,0,2,6,10,False,False,4,low_karma_diff,,,missed
1,10,0,3,3,1,6,26,False,True,20,posts_created+karma_earned,common,mystery,delivered
1,6,2,3,1,1,4,12,False,True,8,posts_created+login_streak,common,comeback,delivered
0,4,4,9,2,7,20,26,False,True,6,no_reason,common,social,delivered
3,1,13,11,3,15,10,22,False,True,12,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
10,0,4,8,1,8,14,28,False,True,14,quizzes_completed+login_streak,rare,streak,delivered
3,6,6,10,1,2,8,23,False,True,15,posts_created+karma_earned,common,mystery,delivered
5,12,8,14,6,15,13,30,False,True,17,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
9,10,8,20,4,11,3,29,False,True,26,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
2,10,10,3,2,0,16,22,False,True,6,posts_created+karma_earned,common,mystery,delivered
1,0,4,2,0,0,3,6,False,False,3,low_karma_diff,,,missed
0,0,0,3,0,1,4,8,False,False,4,low_karma_diff,,,missed
4,10,6,15,3,8,23,28,False,True,5,no_reason,rare,social,delivered
1,2,0,0,0,1,8,9,False,False,1,low_karma_diff,,,missed
2,1,1,0,0,2,9,9,False,False,0,low_karma_diff,,,missed
4,5,10,1,2,1,8,16,False,True,8,posts_created+karma_earned,common,mystery,delivered
3,9,1,15,1,7,11,25,False,True,14,quizzes_completed+login_streak,common,streak,delivered
2,9,7,10,1,0,12,20,False,True,8,posts_created+karma_earned,common,mystery,delivered
5,10,10,7,2,6,21,29,False,True,8,no_reason,common,social,delivered
2,6,14,23,0,11,0,25,False,True,25,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
9,5,11,9,3,14,12,28,False,True,16,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
0,0,1,2,0,2,9,10,False,False,1,low_karma_diff,,,missed
5,10,1,13,2,4,8,23,False,True,15,quizzes_completed+login_streak,common,streak,delivered
3,15,6,17,10,11,15,25,False,True,10,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
0,10,2,7,0,3,12,21,False,True,9,posts_created+karma_earned,common,mystery,delivered
1,5,2,5,2,5,13,23,False,True,10,posts_created+login_streak,common,comeback,delivered
2,6,8,11,3,6,9,23,False,True,14,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
4,5,5,0,2,9,0,29,False,True,29,quizzes_completed+login_streak,common,streak,delivered
5,5,17,13,0,14,15,23,False,True,8,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
4,3,19,13,0,12,6,28,False,True,22,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
1,10,5,4,1,3,8,24,False,True,16,posts_created+login_streak,common,comeback,delivered
9,11,19,11,8,6,6,29,False,True,23,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
5,4,7,7,1,5,11,26,False,True,15,quizzes_completed+login_streak,common,streak,delivered
1,6,7,2,0,0,4,11,False,True,7,posts_created+karma_earned,common,mystery,delivered
8,10,4,17,7,10,14,28,False,True,14,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
2,5,13,7,2,7,20,26,False,True,6,no_reason,common,social,delivered
3,5,6,8,2,6,23,28,False,True,5,no_reason,rare,social,delivered
0,2,3,3,0,0,2,6,False,False,4,low_karma_diff,,,missed
5,3,1,1,1,5,2,5,True,False,0,spam,,,missed
1,6,12,28,3,6,0,26,False,True,26,buddies_messaged+upvotes_received+comments_written,rare,engagement,delivered
0,10,9,9,3,10,20,26,False,True,6,no_reason,common,social,delivered
0,2,3,1,0,1,6,7,False,False,1,low_karma_diff,,,missed
7,4,1,11,1,4,17,26,False,True,9,quizzes_completed+login_streak,rare,streak,delivered
1,8,2,0,2,0,2,29,False,True,27,posts_created+login_streak,rare,comeback,delivered
1,3,4,3,1,4,4,15,False,True,11,posts_created+login_streak,common,comeback,delivered
5,5,1,11,5,2,6,22,False,True,16,quizzes_completed+login_streak,common,streak,delivered
8,1,1,1,5,8,19,24,False,True,5,quizzes_completed+login_streak,rare,streak,delivered
2,2,3,3,0,3,7,14,False,True,7,posts_created+karma_earned,common,mystery,delivered
1,0,1,2,0,1,8,9,False,False,1,low_karma_diff,,,missed
1,5,5,4,2,3,7,17,False,True,10,posts_created+login_streak,common,comeback,delivered
1,9,3,5,1,4,6,18,False,True,12,posts_created+login_streak,common,comeback,delivered
3,6,5,9,2,10,22,27,False,True,5,no_reason,rare,social,delivered
1,6,3,1,1,2,4,15,False,True,11,posts_created+login_streak,common,comeback,delivered
0,1,2,1,0,0,7,9,False,False,2,low_karma_diff,,,missed
1,10,5,1,1,5,5,21,False,True,16,posts_created+login_streak,common,comeback,delivered
1,10,4,0,2,0,5,14,False,True,9,posts_created+login_streak,common,comeback,delivered
5,0,20,28,3,4,20,26,False,True,6,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
1,9,3,3,2,0,3,26,False,True,23,posts_created+login_streak,rare,comeback,delivered
8,1,3,0,4,0,15,29,False,True,14,quizzes_completed+login_streak,rare,streak,delivered
1,5,12,25,3,8,0,22,False,True,22,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
3,9,8,7,3,8,20,25,False,True,5,no_reason,common,social,delivered
3,9,0,10,2,7,6,20,False,True,14,posts_created+karma_earned,common,mystery,delivered
4,12,9,20,7,3,9,25,False,True,16,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
5,7,1,10,3,2,16,22,False,True,6,posts_created+karma_earned,common,mystery,delivered
5,9,4,11,3,5,20,30,False,True,10,no_reason,common,social,delivered
1,9,3,1,2,3,11,28,False,True,17,posts_created+login_streak,common,comeback,delivered
8,10,2,9,2,1,14,20,False,True,6,quizzes_completed+login_streak,rare,streak,delivered
1,3,20,11,1,14,20,25,False,True,5,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
1,2,5,2,2,0,8,22,False,True,14,posts_created+karma_earned,common,mystery,delivered
0,4,6,0,3,5,7,15,False,True,8,posts_created+karma_earned,common,mystery,delivered
5,10,10,9,3,3,12,24,False,True,12,quizzes_completed+login_streak,common,streak,delivered
3,6,3,12,2,3,11,16,False,True,5,quizzes_completed+login_streak,common,streak,delivered
7,11,18,9,4,10,19,26,False,True,7,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
7,3,5,2,2,4,6,26,False,True,20,quizzes_completed+login_streak,rare,streak,delivered
3,9,5,6,3,2,3,17,False,True,14,quizzes_completed+login_streak,common,streak,delivered
3,1,18,11,0,13,7,21,False,True,14,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
5,0,9,12,2,4,11,20,False,True,9,quizzes_completed+login_streak,common,streak,delivered
5,6,20,28,2,10,8,22,False,True,14,buddies_messaged+upvotes_received+comments_written,legendary,engagement,delivered
0,1,4,0,0,2,5,9,False,False,4,low_karma_diff,,,missed
5,7,5,3,2,1,7,20,False,True,13,posts_created+karma_earned,common,mystery,delivered
